time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-04-10 23:24:23.874 UTC, ,125,2125437,2912,28160, , ,3, ,64,3,0.05, , , , , , , ,3,3, ,2, ,2,1,4, ,60,18, , , , , , , , , , , , , ,38098,4, ,31361, , , , , ,42,42, , , , , ,5,389, , , , , , , , , , , , , , , , , , , , , , , , ,1523402663831, , , , ,2097150, , , ,26,0, , , ,2, , , ,3, , , , ,26, ,2048,1, , , ,1,170863,46, , , , , , ,10,2640,35,1425,342265848,2, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:24:24.025 UTC, ,1029,2267405,8800,169224, , ,10, ,498,2,0.00, , , , , , , ,10,10, , , ,1,7,10, ,348,109, , , , , , , , , , , , , ,38098,4, ,31361, , , , , ,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402663831, , , , ,2097150, , , ,113,4, ,32, ,3, , , ,3,57, , , ,113,1, , , , , , ,23207,116,17536,57, , , , , , , , ,378474616,2, , , , , , ,755, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,58, ,10,66,30,66, , , , , , 
2018-04-10 23:24:24.594 UTC, ,125,3174165,2912,28312, , ,3,1,41,3,0.07, , , , , , , ,3,3, ,2,1,2,1,4, ,37,19, , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,30,30, , , , , ,1,646, , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , ,28,0, , , ,2, , , ,3, , , , ,28, ,4096,1, , , , ,21014160,39, , , , , , ,10,2640,35,1425,574366560,2, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-04-10 23:25:24.601 UTC, ,8069,5341885,9632,2181928,6160, ,55, ,34749,9,0.00, , , , , , , ,55,20, , , ,25,34,17, ,7811,109, , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , ,127, , , , ,3,680, , ,3,1, , , ,127,1,357,2,5068,2, , ,93484,128,2779064,678, , , , , , ,7,283,713149976,4, , , , , , ,33392, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3486, ,112,19698,6390,4970, , , , , , 
2018-04-10 23:26:24.607 UTC, ,8069,5352005,9840,2192048,6160, ,57, ,221, , , , , , , , , ,57,22, , , ,25,36,19, ,67, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,68,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , ,10, , ,3, , , , , ,1, , , , , , , , ,4122,10, , , , , , ,1,77,505785984,3, , , , , , ,175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, ,2,151,57,3, , , , , , 
2018-04-10 23:27:24.611 UTC, ,8949,5400525,9840,2239688,6160, ,61, ,4635, , , , , , , , , ,61,22, , , ,27,39,19, ,1190, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,1, ,1, , ,97, , ,3,2, , , , ,1, , , , , , , , ,255714,97, , , , , , ,1,90,625311840,2, , , , , , ,4255, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,352, ,45,2730,972,567, , , , , , 
2018-04-10 23:28:24.618 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,268, , , , , , , , , ,61,22, , , ,27,39,19, ,89, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , , , , , , ,6, , ,3,1, , , , ,1, , , , , , , , ,13533,6, , , , , , , , ,706516000,6, , , , , , ,234, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,22, ,2,174,52,17, , , , , , 
2018-04-10 23:29:24.628 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,6, , , , , , , , , ,61,22, , , ,27,39,19, ,3, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,715934384,9, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-04-10 23:30:24.634 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,6, , , , , , , , , ,61,22, , , ,27,39,19, ,3, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,725076256,5, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-04-10 23:31:24.645 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,6, , , , , , , , , ,61,22, , , ,27,39,19, ,3, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,734022096,6, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , 
2018-04-10 23:32:24.653 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,700, , , , , , , , , ,61,22, , , ,27,39,19, ,116, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , , , , , , ,1, , ,3,1, , , , ,1, , , , , , , , ,2166,1, , , , , , , , ,860881112,4, , , , , , ,358, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,42,311,348,1, , , , , , 
2018-04-10 23:33:24.661 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,117, , , , , , , , , ,61,22, , , ,27,39,19, ,33, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , ,1, , ,3, , , , , ,1, , , , , , , , ,2166,1, , , , , , ,1,640,551891048,12, , , , , , ,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,72,40,1, , , , , , 
2018-04-10 23:34:24.668 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,44, , , , , , , , , ,61,22, , , ,27,39,19, ,11, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , , , , , , ,1, , ,3,1, , , , ,1, , , , , , , , ,2166,1, , , , , , , , ,571521632,8, , , , , , ,31, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,27,14,1, , , , , , 
2018-04-10 23:35:24.674 UTC, ,8949,5405253,9840,2244416,6160, ,61, ,504, , , , , , , , , ,61,22, , , ,27,39,19, ,114, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,64,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,1, ,1, , ,4, , ,3,2, , , , ,1, , , , , , , , ,13469,4, , , , , , ,1,440,600388576,5, , , , , , ,320, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,5, ,1, ,4,291,195,7, , , , , , 
2018-04-10 23:36:24.699 UTC, ,9389,5413573,9840,2252296,6160, ,62, ,126, , , , , , , , , ,62,22, , , ,28,40,19, ,35, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,1, ,1, , ,6, , ,3,3, , , , ,1, , , , , , , , ,16024,6, , , , , , , , ,628964184,4, , , , , , ,107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, , ,63,29,14, , , , , , 
2018-04-10 23:37:24.712 UTC, ,9389,5435365,10464,2274088,6160, ,68, ,546, , , , , , , , , ,68,28, , , ,28,46,25, ,53,1, , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , ,1,1, ,2, , ,9, , ,3,2, , , ,1,1,125,1,3991,1, , , , ,11888,8, , , , , , , , ,767339192,13, , , , , , ,442, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,89, , ,225,184,63, , , , , , 
2018-04-10 23:38:24.726 UTC, ,9389,5436917,10464,2275640,6160, ,68, ,47, , , , , , , , , ,68,28, , , ,28,46,25, ,12, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , , , , , , ,1, , ,3,1, , , , ,1, , , , , , , , ,2036,1, , , , , , , , ,778667168,8, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,28,8,7, , , , , , 
2018-04-10 23:39:24.735 UTC, ,9389,5436917,10464,2275640,6160, ,68, ,8, , , , , , , , , ,68,28, , , ,28,46,25, ,5, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,788203776,5, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , , , , 
2018-04-10 23:40:24.743 UTC, ,9389,5436917,10464,2275640,6160, ,68, ,8, , , , , , , , , ,68,28, , , ,28,46,25, ,5, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,797803784,4, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , , , , 
2018-04-10 23:41:24.750 UTC, ,9389,5436917,10464,2275640,6160, ,68, ,8, , , , , , , , , ,68,28, , , ,28,46,25, ,5, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,807490344,4, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , , , , 
2018-04-10 23:42:24.757 UTC, ,9389,5436917,10464,2275640,6160, ,68, ,8, , , , , , , , , ,68,28, , , ,28,46,25, ,5, , , , , , , , , , , , , , ,60964,5, ,55799, , , , , ,63,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1523402664531, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,816950520,3, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1, , , , , , , 
